Trans. date,Post date,Description,Amount,Category
3/29/25,3/29/25,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,45.68,Supermarkets
3/29/25,3/29/25,SPRINGHILL SUITES BY MAR 4123239005 PA,112.64,Travel/ Entertainment
3/29/25,3/29/25,SQ *CREAM CITY SOAP CO WAUWATOSA WI0002305843021721912839,39.4,Supermarkets
3/29/25,3/29/25,WAUWATOSA ACE HARDWARE WAUWATOSA WI,15.86,Home Improvement
3/30/25,3/30/25,TST*BLUES EGG 414-299-3180 WIAPPLE PAY ENDING IN 704900091966023939484078AA,41.92,Restaurants
3/31/25,3/31/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
3/31/25,3/31/25,"CRM WEB SOLUTIONS, LLC MOMENTPATH.COTX",148.28,Education
4/1/25,4/1/25,5-365 FOOD SERVICE TROY MI,2.38,Restaurants
4/1/25,4/1/25,AMERICAN EAGLE OUTFITT PITTSBURGH PAAPPLE PAY ENDING IN 7049,63.48,Merchandise
4/1/25,4/1/25,AMERICAN EAGLE OUTFITT PITTSBURGH PAAPPLE PAY ENDING IN 7049,72.21,Merchandise
4/1/25,4/1/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
4/1/25,4/1/25,SP MILWAUKEE MICROGREE 4144556335 WI,15,Merchandise
4/1/25,4/1/25,SQ *VALENTINE COFFEE C MILWAUKEE WI0002305843021736378047,8.59,Restaurants
4/1/25,4/1/25,SUBWAY 45983 MENOMONEE FALWI,11.06,Restaurants
4/2/25,4/2/25,365 MARKET J 888 432-329 TROY MI,1.34,Restaurants
4/2/25,4/2/25,CHICK-FIL-A #03252 2623730609 WI,29.07,Restaurants
4/2/25,4/2/25,INDEED USI25-01665470 INDEED.COM TX,137.83,Services
4/2/25,4/2/25,WAUWATOSA SCHOOL OF MUSI WAUWATOSA WI,108,Merchandise
4/3/25,4/3/25,COLECTIVO COFFEE ROAST 4142733747 WIAPPLE PAY ENDING IN 7049,7.66,Supermarkets
4/3/25,4/3/25,UWGB FOUNDATION 9204652074 WI,26.25,Services
4/4/25,4/4/25,5-365 FOOD SERVICE TROY MI,2.08,Restaurants
4/4/25,4/4/25,AMTRAK MOBILE 202-906-3000 DCAPPLE PAY ENDING IN 7049,64,Travel/ Entertainment
4/4/25,4/4/25,TST*JOY ICE CREAM SOCI WAUWATOSA WI00229365024076741324AA,11.17,Merchandise
4/4/25,4/4/25,TST*MAXIES MILWAUKEE WI00091948024074638762AA,82,Restaurants
4/4/25,4/4/25,TST*MISS MOLLYS CAFE & 414-249-5665 WIAPPLE PAY ENDING IN 704900037390024067378707AA,17.5,Restaurants
4/5/25,4/5/25,5-365 FOOD SERVICE TROY MI,0.5,Restaurants
4/5/25,4/5/25,5-365 FOOD SERVICE TROY MI,4,Restaurants
4/5/25,4/5/25,FIDDLEHEADS COFFEE ROAST WAUWATOSA WI,20.01,Restaurants
4/5/25,4/5/25,GLOSS* TOSA WELLNESS & 8557702098 WI,223.56,Services
4/5/25,4/5/25,MICHAELS STORES 6709 BROOKFIELD WI6709004011832504051250,18.33,Merchandise
4/5/25,4/5/25,ORDER.NOODLES.COM 2122600895 COAPPLE PAY ENDING IN 7049,25.27,Restaurants
4/5/25,4/5/25,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,87.13,Supermarkets
4/5/25,4/5/25,SQ *HAPPY BUDDHA BOUTI WAUWATOSA WI0002305843021768511432,85.62,Supermarkets
4/5/25,4/7/25,AMERICAN EAGLE OUTFITT WAUWATOSA WI,-62.68,Payments and Credits
4/6/25,4/6/25,PAYPAL *EDDIE BAUER 888-221-1161 CA,25.84,Merchandise
4/6/25,4/6/25,RAISING CANES 0948 BROOKFIELD WI00651P,32.4,Restaurants
4/6/25,4/6/25,TST* LION'S TAIL BREWING WAUWATOSA WI,8.03,Restaurants
4/6/25,4/6/25,TST* LION'S TAIL BREWING WAUWATOSA WI,8.77,Restaurants
4/7/25,4/7/25,BOSWELL BOOK COMPANY 414-332-1181 WI,31.28,Merchandise
4/7/25,4/7/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
4/8/25,4/8/25,5-365 FOOD SERVICE TROY MI,4.71,Restaurants
4/8/25,4/8/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
4/8/25,4/8/25,PAYPAL *EDDIE BAUER 888-221-1161 CA,60.9,Merchandise
4/9/25,4/9/25,AMTRAK MOBILE 202-906-3000 DCAPPLE PAY ENDING IN 7049,4,Travel/ Entertainment
4/9/25,4/9/25,CULVERS 2122600895 WI,32.19,Restaurants
4/9/25,4/9/25,LEGACY GYM MKE 262-989-6696 WI,95,Travel/ Entertainment
4/9/25,4/9/25,MILESTONE PLUMBING WAUWATOSA WI,287.33,Services
4/10/25,4/10/25,AMTRAK MOBILE 202-906-3000 DCAPPLE PAY ENDING IN 7049,102,Travel/ Entertainment
4/10/25,4/10/25,CULVERS HALE CORNERS 108 HALES CORNERSWI,13.27,Restaurants
4/10/25,4/10/25,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
4/10/25,4/10/25,SALON MARIE LLC HALES CORNERSWI,309,Services
4/10/25,4/11/25,AMTRAK MOBILE 202-906-3000 DCAPPLE PAY ENDING IN 7049,-64,Payments and Credits
4/10/25,4/11/25,AMTRAK MOBILE 202-906-3000 DCAPPLE PAY ENDING IN 7049,-4,Payments and Credits
4/11/25,4/11/25,365 MARKET J 888 432-329 TROY MI,1.35,Restaurants
4/11/25,4/11/25,BALLPARC MKE MILWAUKEE WI,10,Services
4/11/25,4/11/25,CAFE ZUPAS 8018784536 UTAPPLE PAY ENDING IN 7049,14.56,Restaurants
4/11/25,4/11/25,"WHEEL SPROCKET, OPS MILWAUKEE WI",521.53,Merchandise
4/12/25,4/12/25,AUNTIE ANNE'S PRETZELS CHICAGO IL,16.69,Restaurants
4/12/25,4/12/25,NOODLES & CO 672 CHICAGO IL,25.74,Restaurants
4/13/25,4/13/25,BOSWELL BOOK COMPANY MILWAUKEE WI,16.53,Merchandise
4/13/25,4/13/25,BOSWELL BOOK COMPANY MILWAUKEE WI,58.14,Merchandise
4/13/25,4/13/25,HULU 888-439-4858 CAHULU,4.32,Services
4/13/25,4/13/25,QDOBA 2856 OLO 414-755-8001 WI34511633444192256,24.95,Restaurants
4/13/25,4/13/25,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,12.48,Supermarkets
4/13/25,4/13/25,SENDIK'S WAUWATOSA WAUWATOSA WI,46.35,Supermarkets
4/13/25,4/13/25,TST*BLUES EGG 414-299-3180 WIAPPLE PAY ENDING IN 704900091966024251473336AA,45.29,Restaurants
4/13/25,4/14/25,EDDIE BAUER 4164 414-475-7114 WI,-34.42,Payments and Credits
4/14/25,4/14/25,365 MARKET J 888 432-329 TROY MI,1.34,Restaurants
4/14/25,4/14/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
4/14/25,4/14/25,"CRM WEB SOLUTIONS, LLC MOMENTPATH.COTX",148.28,Education
4/15/25,4/15/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
4/15/25,4/15/25,LEGACY GYM MKE 262-989-6696 WI,95,Travel/ Entertainment
4/15/25,4/15/25,SP MILWAUKEE MICROGREE 4144556335 WI,15,Merchandise
4/15/25,4/15/25,SQ *VALENTINE COFFEE C MILWAUKEE WI0002305843021833499950,9.65,Restaurants
4/16/25,4/16/25,5-365 FOOD SERVICE TROY MI,1.98,Restaurants
4/16/25,4/16/25,CHICK-FIL-A #03252 2623730609 WI,29.07,Restaurants
4/16/25,4/16/25,SPEEDWAY 04220 MILWAUKEE MILWAUKEE WIAPPLE PAY ENDING IN 3896,15.92,Gasoline
4/17/25,4/17/25,5-365 FOOD SERVICE TROY MI,3.41,Restaurants
4/17/25,4/17/25,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
4/18/25,4/19/25,TABIO LLC* NEIGHBORHOO 4149159462 WI,40.97,Merchandise
4/19/25,4/19/25,COLECTIVO COFFEE ROAST 4142733747 WIAPPLE PAY ENDING IN 7049,43.56,Supermarkets
4/19/25,4/19/25,MICROSOFT-G088147592 REDMOND WA,13.24,Merchandise
4/19/25,4/19/25,MURF'S FROZEN CUSTARD & BROOKFIELD WI,44.02,Restaurants
4/19/25,4/19/25,SENDIK'S WAUWATOSA WAUWATOSA WI,33.69,Supermarkets
4/19/25,4/19/25,SP BIRCH LIVING 8883300781 NY,"1,487.90",Merchandise
4/19/25,4/19/25,TST*MISS MOLLYS CAFE & 414-249-5665 WIAPPLE PAY ENDING IN 704900037390024415689965AA,37.92,Restaurants
4/20/25,4/20/25,FIDDLEHEADS COFFEE ROAST WAUWATOSA WI,17.5,Restaurants
4/21/25,4/21/25,365 MARKET J 888 432-329 TROY MI,1.35,Restaurants
4/21/25,4/21/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
4/21/25,4/21/25,MICHAELS #9490 800-642-4235 TXAPPLE PAY ENDING IN 70494000109099903353,2.77,Merchandise
4/21/25,4/21/25,SENDIK'S WAUWATOSA WAUWATOSA WI,6,Supermarkets
4/22/25,4/22/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
4/22/25,4/22/25,SPECTRUM 855-707-7328 MORC1000306274,89.99,Services
4/23/25,4/23/25,5-365 FOOD SERVICE TROY MI,2.89,Restaurants
4/23/25,4/23/25,CULVERS 2122600895 WI,28.94,Restaurants
4/23/25,4/23/25,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,31.39,Supermarkets
4/24/25,4/24/25,5-365 FOOD SERVICE TROY MI,12.73,Restaurants
4/24/25,4/24/25,AAA INSURANCE GW EFT 800-222-6424 MI,645.05,Services
4/24/25,4/24/25,AAA INSURANCE GW EFT 800-222-6424 MI,"1,036.43",Services
4/24/25,4/24/25,ARTE WINE AND PAINTING S 4147362302 WI,75,Travel/ Entertainment
4/24/25,4/24/25,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
4/24/25,4/24/25,PAYMENT - THANK YOU,"-5,846.18",Payments and Credits
4/25/25,4/25/25,5-365 FOOD SERVICE TROY MI,5.2,Restaurants
4/25/25,4/25/25,SQ *STONE CREEK COFFEE MILWAUKEE WI0002305843021903554198,9.5,Restaurants
4/25/25,4/25/25,WWW.GILLES* GILLES FRO 8889983286 WIAPPLE PAY ENDING IN 7049,51.26,Restaurants
4/26/25,4/26/25,5-365 FOOD SERVICE TROY MI,5.05,Restaurants
4/26/25,4/26/25,MARCUS NORTH SHORE CONC MEQUON WI,47.94,Travel/ Entertainment
4/26/25,4/26/25,PAYPAL *ORO DI OLIV ORO 888-221-1161 CA,54,Supermarkets
4/26/25,4/26/25,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,42.69,Supermarkets
4/26/25,4/26/25,SP DRINK ZYN 8663765996 WI,49.99,Supermarkets
4/27/25,4/27/25,VIP PHOTO - VIPIS.COM 262-375-4457 WI,12.71,Services
4/28/25,4/28/25,365 MARKET J 888 432-329 TROY MI,3.24,Restaurants
4/28/25,4/28/25,365 MARKET K 888 432-329 TROY MI,1.86,Restaurants
4/28/25,4/28/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
4/28/25,4/28/25,"CRM WEB SOLUTIONS, LLC MOMENTPATH.COTX",148.28,Education
4/28/25,4/28/25,SQ *HIGHLANDS HONEY GOSQ.COM WI0002305843021924124648,27,Supermarkets
4/28/25,4/28/25,SQ *VALENTINE COFFEE C MILWAUKEE WI0002305843021924017457,17.42,Restaurants
4/29/25,4/29/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
4/30/25,4/30/25,MED*FROEDTERT HEALTH I 800-803-8155 WI390856281,31.97,Medical Services
4/30/25,4/30/25,SCHOLASTIC BOOK FAIRS R4 LAKE MARY FL,28,Merchandise
5/1/25,5/1/25,BOSWELL BOOK COMPANY 414-332-1181 WI,29.35,Merchandise
5/1/25,5/1/25,GIGISPLAYHOUSE.ORG 8478857529 IL,171.28,Services
5/1/25,5/1/25,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
5/1/25,5/1/25,MILWAUKEE COUNTY TRANSIT 414-344-4550 WI,10,Travel/ Entertainment
5/1/25,5/1/25,PAYPAL *CHEWY INC 888-221-1161 CA,23.24,Merchandise
5/1/25,5/1/25,RAISING CANES 0948 MOB 972-769-3100 WIAPPLE PAY ENDING IN 70494928762824884227,32.2,Restaurants
5/1/25,5/2/25,SP MILWAUKEE MICROGREE 4144556335 WI,-15,Payments and Credits
5/2/25,5/2/25,PAYPAL *CHEWY INC 888-221-1161 CA,156.49,Merchandise
5/2/25,5/2/25,TST*YO MAMA - WAUWATOS WAUWATOSA WI00042815024710342737AA,8.65,Restaurants
5/2/25,5/2/25,WAUWATOSA SCHOOL OF MUSI WAUWATOSA WI,112,Merchandise
5/3/25,5/3/25,COLLECTORS EDGE COMICS MILWAUKEE WI,33.38,Merchandise
5/3/25,5/3/25,FIDDLEHEADS COFFEE ROAST WAUWATOSA WI,42.9,Restaurants
5/3/25,5/3/25,NOODLES & CO 206 MILWAUKEE WI,32.53,Restaurants
5/3/25,5/3/25,SP ECOEVIE APPAREL MILWAUKEE WI,186.38,Merchandise
5/3/25,5/3/25,SP NOURISH NATURAL P BAYSIDE WI,62.49,Merchandise
5/3/25,5/3/25,SQ *BIG WHITE YETI ST FRANCIS WI0002305843021960758547,32.37,Supermarkets
5/3/25,5/3/25,SQ *HAPPY BUDDHA BOUTI WAUWATOSA WI0002305843021960692674,42.26,Supermarkets
5/3/25,5/3/25,SQ *THE TURNING PAGE MILWAUKEE WI0002305843021964104576,36.25,Merchandise
5/3/25,5/3/25,THE HOME DEPOT #4940 MENOMONEE FLSWI,65.65,Home Improvement
5/3/25,5/3/25,TST* LUCKY JOES WAUWATOSA WI,81.82,Restaurants
5/4/25,5/4/25,LS BENTLEYS PET STUFF WAUWATOSA WI,80.46,Merchandise
5/4/25,5/4/25,WWW.GILLES* GILLES FRO 8889983286 WIAPPLE PAY ENDING IN 7049,37.13,Restaurants
5/5/25,5/5/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
5/5/25,5/5/25,TOSA DENTAL LLC WAUWATOSA WI,88,Medical Services
5/6/25,5/6/25,5-365 FOOD SERVICE TROY MI,2.16,Restaurants
5/6/25,5/6/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,21.02,Services
5/7/25,5/7/25,365 PAY 8883657382 MI,20,Restaurants
5/7/25,5/7/25,5-365 FOOD SERVICE TROY MI,3.09,Restaurants
5/7/25,5/7/25,CULVERS 2122600895 WIAPPLE PAY ENDING IN 7049,30.09,Restaurants
5/7/25,5/7/25,GLOSS* TOSA WELLNESS & WAUWATOSA WI,297.56,Services
5/8/25,5/8/25,5-365 FOOD SERVICE TROY MI,4.05,Restaurants
5/8/25,5/8/25,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
5/9/25,5/9/25,5-365 FOOD SERVICE TROY MI,3.83,Restaurants
5/9/25,5/9/25,LALLIS PIZZA WAUWATOSA WI,23,Restaurants
5/9/25,5/9/25,LEGACY GYM MKE 262-989-6696 WI,95,Travel/ Entertainment
5/9/25,5/9/25,SQ *BE BEAUTY EGG HARBOR WI0002305843022004057682,152.71,Merchandise
5/10/25,5/10/25,5-365 FOOD SERVICE TROY MI,2.73,Restaurants
5/11/25,5/11/25,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,91.33,Supermarkets
5/12/25,5/12/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
5/12/25,5/12/25,"CRM WEB SOLUTIONS, LLC MOMENTPATH.COTX",148.28,Education
5/13/25,5/13/25,5-365 FOOD SERVICE TROY MI,0.92,Restaurants
5/13/25,5/13/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
5/13/25,5/13/25,HULU 8778244858 CA,4.32,Services
5/14/25,5/14/25,5-365 FOOD SERVICE TROY MI,5.65,Restaurants
5/14/25,5/14/25,AMAZON MKTPL*NZ0DB4CF2 AMZN.COM/BILLWA1K51H9IBS13,142.95,Merchandise
5/14/25,5/14/25,CHICK-FIL-A #03252 2623730609 WI,18.8,Restaurants
5/15/25,5/15/25,5-365 FOOD SERVICE TROY MI,2.59,Restaurants
5/15/25,5/15/25,LEGACY GYM MKE 262-989-6696 WI,95,Travel/ Entertainment
5/15/25,5/15/25,SALON MARIE LLC HALES CORNERSWI,34,Services
5/16/25,5/16/25,DINING TROY MI,1.6,Restaurants
5/16/25,5/16/25,WWW.GILLES* GILLES FRO 8889983286 WI,50.34,Restaurants
5/17/25,5/17/25,OUTPOST NATURAL FOODS CO WAUWATOSA WI,22.83,Supermarkets
5/17/25,5/17/25,OUTPOST NATURAL FOODS CO WAUWATOSA WI,83.4,Supermarkets
5/17/25,5/19/25,SENDIK'S ELM GROVE ELM GROVE WIAPPLE PAY ENDING IN 3896,18.96,Supermarkets
5/17/25,5/19/25,SHADY LANE GREENHOUSES MENOMONEE FALWI,169.58,Merchandise
5/18/25,5/19/25,NOODLES & CO 210 WAUWATOSA WI,28.78,Restaurants
5/18/25,5/19/25,TST* ARTE WINE AND PAIN WAUWATOSA WI,343.63,Restaurants
5/19/25,5/19/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
5/19/25,5/19/25,MICROSOFT#G092924365 MSBILL.INFO WA,13.24,Merchandise
5/19/25,5/19/25,PANERA BREAD #606423 O 855-372-6372 WIAPPLE PAY ENDING IN 70496051715915962677,34.01,Restaurants
5/20/25,5/20/25,365 MARKET J 888 432-329 TROY MI,1.35,Restaurants
5/20/25,5/20/25,365 MARKET K 888 432-329 TROY MI,1.86,Restaurants
5/20/25,5/20/25,5-365 FOOD SERVICE TROY MI,4.8,Restaurants
5/20/25,5/20/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
5/20/25,5/20/25,SP LEINIE LODGE 7157235557 WI,16.31,Merchandise
5/20/25,5/20/25,SP MOLSON COORS 4149312337 WI,21.18,Merchandise
5/21/25,5/21/25,365 MARKET J 888 432-329 TROY MI,1.35,Restaurants
5/21/25,5/21/25,CULVERS 2122600895 WI,18.25,Restaurants
5/22/25,5/22/25,365 MARKET J 888 432-329 TROY MI,2,Restaurants
5/22/25,5/22/25,HYATT REGENCY SCHAUMBURG 847-605-1234 IL,364.56,Travel/ Entertainment
5/22/25,5/22/25,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
5/22/25,5/22/25,NOODLES AND COMPANY 2122600895 COAPPLE PAY ENDING IN 7049,35.48,Restaurants
5/22/25,5/22/25,PAYPAL *TOTALWINE 888-221-1161 CA,31.47,Merchandise
5/22/25,5/22/25,SPECTRUM 855-707-7328 MORC1056141824,89.99,Services
5/22/25,5/22/25,TOTAL WINE AND MORE BROOKFIELD WI,8.91,Merchandise
5/22/25,5/22/25,TST*YO MAMA - WAUWATOS WAUWATOSA WI00042815025178834173AA,13,Restaurants
5/23/25,5/23/25,PAYMENT - THANK YOU,"-7,244.22",Payments and Credits
5/23/25,5/23/25,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,85.36,Supermarkets
5/23/25,5/23/25,SENDIK'S WAUWATOSA WAUWATOSA WI,19,Supermarkets
5/24/25,5/24/25,5-365 FOOD SERVICE TROY MI,4.13,Restaurants
5/24/25,5/24/25,QDOBA 2856 OLO 414-755-8001 WI35455247443116032,17.72,Restaurants
5/24/25,5/24/25,SENDIK'S WAUWATOSA WAUWATOSA WI,19,Supermarkets
5/24/25,5/24/25,SQ *COLECTIVO GOSQ.COM WIAPPLE PAY ENDING IN 70490002305843022103368308,44.07,Restaurants
5/25/25,5/25/25,AGA SERVICE COMPANY 800-628-4908 VA,61.44,Services
5/25/25,5/25/25,AMTRAK .COM 800-872-7245 DC,943.5,Travel/ Entertainment
5/26/25,5/26/25,APPLE.COM/US 800-692-7753 CAAPPLE PAY ENDING IN 7049,1.89,Merchandise
5/26/25,5/26/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
5/26/25,5/26/25,"CRM WEB SOLUTIONS, LLC MOMENTPATH.COTX",148.28,Education
5/26/25,5/26/25,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,30.91,Supermarkets
5/26/25,5/26/25,SQ *COLECTIVO WAUWATOSA WI0002305843022121454879,20.19,Restaurants
5/27/25,5/27/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
5/27/25,5/27/25,SQ *VALENTINE COFFEE C MILWAUKEE WI0002305843022125993582,10.05,Restaurants
5/28/25,5/28/25,365 MARKET J 888 432-329 TROY MI,2,Restaurants
5/28/25,5/28/25,NOODLES AND COMPANY 2122600895 COAPPLE PAY ENDING IN 7049,36.28,Restaurants
5/28/25,5/28/25,PP*SOUTHWEST 888-221-1161 CA,5.6,Travel/ Entertainment
5/28/25,5/28/25,PP*SOUTHWEST 888-221-1161 CA,5.6,Travel/ Entertainment
5/28/25,5/28/25,PP*SOUTHWEST 888-221-1161 CA,5.6,Travel/ Entertainment
5/29/25,5/29/25,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
5/30/25,5/30/25,365 MARKET J 888 432-329 TROY MI,1.35,Restaurants
5/30/25,5/30/25,DINING TROY MI,2.34,Restaurants
5/30/25,5/30/25,TST*YO MAMA - WAUWATOS WAUWATOSA WI00042815025369552864AA,14.03,Restaurants
5/31/25,5/31/25,LALLIS PIZZA WAUWATOSA WI,36,Restaurants
5/31/25,5/31/25,LISBON AVE. ACE HARDWARE MILWAUKEE WI,39.35,Home Improvement
6/1/25,6/1/25,"PY *WRITE ON, DOOR COUNT 920-868-1457 WIPY *WRITE ON, DOOR COUNT",45,Services
6/1/25,6/1/25,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,52,Supermarkets
6/2/25,6/2/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
6/2/25,6/2/25,TST* CENTRAL STANDARD CR MILWAUKEE WI,133.4,Restaurants
6/2/25,6/2/25,WAUWATOSA SCHOOL OF MUSI WAUWATOSA WI,112,Merchandise
6/3/25,6/3/25,5-365 FOOD SERVICE TROY MI,3.66,Restaurants
6/3/25,6/3/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
6/4/25,6/4/25,5-365 FOOD SERVICE TROY MI,3.12,Restaurants
6/4/25,6/4/25,RAISING CANES 0948 BROOKFIELD WI00489P,32.61,Restaurants
6/5/25,6/5/25,5-365 FOOD SERVICE TROY MI,5.03,Restaurants
6/5/25,6/5/25,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
6/5/25,6/5/25,POCO PIZZA 888-221-1161 WI,120,Supermarkets
6/5/25,6/5/25,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,29,Supermarkets
6/5/25,6/5/25,SP MILWAUKEE MICROGREE 4144556335 WI,10,Merchandise
6/6/25,6/6/25,EDDIEBAUER ECOMMERCE 425-755-6100 WAAPPLE PAY ENDING IN 7049,80.48,Merchandise
6/6/25,6/6/25,NOODLES & CO 209 MENOMONEE FALWI,43.71,Restaurants
6/7/25,6/7/25,WWW.GILLES* GILLES FRO 8889983286 WI,40.09,Restaurants
6/8/25,6/8/25,NAIL DESIGN WAUWATOSA WI,78,Services
6/8/25,6/8/25,SQ *HAPPY BUDDHA BOUTI WAUWATOSA WI0002305843022207552230,29.6,Supermarkets
6/8/25,6/8/25,TST*NORTH AVENUE GRILL WAUWATOSA WI00021253025588470836AA,29.49,Restaurants
6/9/25,6/9/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
6/9/25,6/9/25,"CRM WEB SOLUTIONS, LLC MOMENTPATH.COTX",59.37,Education
6/9/25,6/9/25,LEGACY GYM MKE 262-989-6696 WI,95,Travel/ Entertainment
6/10/25,6/10/25,5-365 FOOD SERVICE TROY MI,2.53,Restaurants
6/10/25,6/10/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,21.02,Services
6/10/25,6/10/25,SQ *VLIET MILWAUKEE WI0002305843022218656943,14.26,Restaurants
6/11/25,6/11/25,5-365 FOOD SERVICE TROY MI,1.53,Restaurants
6/11/25,6/11/25,MURF'S FROZEN CUSTARD & BROOKFIELD WI,50.97,Restaurants
6/11/25,6/11/25,SQ *MILWAUKEE ELECTRIC MILWAUKEE WI0002305843022227163075,115.5,Home Improvement
6/12/25,6/12/25,5-365 FOOD SERVICE TROY MI,2.95,Restaurants
6/12/25,6/12/25,CHICK-FIL-A #03252 2623730609 WI,18.8,Restaurants
6/12/25,6/12/25,NOODLES & CO 223 WAUWATOSA WI,28.14,Restaurants
6/13/25,6/13/25,EDDIEBAUER ECOMMERCE 425-755-6100 WAAPPLE PAY ENDING IN 7049,-40.24,Payments and Credits
6/13/25,6/13/25,HULU 888-439-4858 CAHULU,4.32,Services
6/13/25,6/13/25,PANERA BREAD #601548 O 414-831-7777 WIAPPLE PAY ENDING IN 70496051715929430072,17,Restaurants
6/13/25,6/13/25,SQ *CREAM CITY SOAP CO MILWAUKEE WI0002305843022241131039,28.48,Supermarkets
6/13/25,6/13/25,THE HOME DEPOT #4923 WAUWATOSA WI,17.97,Home Improvement
6/14/25,6/14/25,5-365 FOOD SERVICE TROY MI,1,Restaurants
6/14/25,6/14/25,5-365 FOOD SERVICE TROY MI,1.67,Restaurants
6/14/25,6/14/25,APPLE.COM/BILL 866-712-7753 CA,11.64,Merchandise
6/14/25,6/14/25,CHICK-FIL-A #03252 2623730609 WI,18.8,Restaurants
6/14/25,6/14/25,WAUWATOSA ACE HARDWARE WAUWATOSA WI,31.75,Home Improvement
6/15/25,6/15/25,JULIES PARK CAFE & MOTEL FISH CREEK WI,"1,237.15",Travel/ Entertainment
6/15/25,6/15/25,LEGACY GYM MKE 262-989-6696 WI,95,Travel/ Entertainment
6/15/25,6/15/25,MED*CHILDRENS WISCONSI 414-266-6262 WI412201958,19.78,Medical Services
6/16/25,6/16/25,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,42.04,Services
6/17/25,6/17/25,THE WHITE GULL INN RESTA FISH CREEK WI,74.05,Restaurants
6/17/25,6/17/25,YMCA OF GREATER WAUKESHA 262-542-2557 WI,249,Services
6/17/25,6/19/25,NORTHERN SKY THEATER EPHRAIM WI,86.96,Services
6/18/25,6/19/25,JULIES PARK CAFE & MOTEL FISH CREEK WI,181.6,Travel/ Entertainment
6/18/25,6/19/25,SP DC SUNGLASS CO STURGEON BAY WI,26.38,Merchandise
6/18/25,6/19/25,TST*JULIES PARK CAFE 920-868-2999 WIAPPLE PAY ENDING IN 704900096547025812543591AA,4.75,Restaurants
6/19/25,6/19/25,HIDE SIDE CORNER STORE FISH CREEK WI,44.27,Merchandise
6/19/25,6/19/25,MICROSOFT#G097821460 MSBILL.INFO WA,13.24,Merchandise
6/19/25,6/19/25,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
6/19/25,6/19/25,SQ *EVERGREEN MINIATUR FISH CREEK WI0002305843022279974849,34.66,Travel/ Entertainment
6/19/25,6/19/25,SQ *GRASSE?S GRILL GOSQ.COM WI0001152921515600776992,39.93,Restaurants
6/19/25,6/19/25,THE FARM INC STURGEON BAY WI,17.5,Travel/ Entertainment
6/20/25,6/20/25,SQ *NOT LICKED YET FRO FISH CREEK WI0002305843022294555813,15.03,Restaurants
6/20/25,6/20/25,THE THIRSTY COW TAPHOUSE BAILEYS HARBOWI,70,Restaurants
